"","naics","high","uppermiddle","lowermiddle","low"
"300","5322-3",0.073,0.105,0.812,0.011
"301","532200",0.078,0.074,0.835,0.012
"302","532300",0.052,0.226,0.714,0.002
"303","532400",0.09,0.344,0.564,0
"304","533000",0.263,0.267,0.449,0.017
"305","540000",0.453,0.253,0.29,0.005
"306","541000",0.453,0.253,0.29,0.005
"307","541100",0.584,0.029,0.387,0
"308","541200",0.091,0.506,0.398,0.005
"309","541300",0.64,0.184,0.176,0
"310","541330",0.683,0.167,0.15,0
"311","541380",0.34,0.339,0.32,0
"312","541400",0.132,0.529,0.339,0
"313","541500",0.706,0.125,0.169,0
"314","541600",0.275,0.401,0.321,0.002
"315","541700",0.425,0.416,0.156,0.003
"316","541710",0.449,0.398,0.15,0.003
"317","541720",0.203,0.586,0.208,0.002
"318","541800",0.153,0.338,0.505,0
"319","541900",0.314,0.203,0.441,0.043
"320","541920",0.034,0.603,0.361,0
"321","541940",0.453,0.006,0.459,0.081
"322","550000",0.357,0.282,0.348,0.012
"323","551000",0.357,0.282,0.348,0.012
"324","560000",0.081,0.194,0.708,0.018
"325","561000",0.081,0.189,0.711,0.019
"326","561100",0.228,0.184,0.57,0.001
"327","561200",0.065,0.455,0.398,0.04
"328","561300",0.105,0.132,0.727,0.036
"329","561320",0.098,0.117,0.757,0.027
"330","561400",0.078,0.052,0.864,0.001
"331","561420",0.062,0.04,0.896,0
"332","561500",0.098,0.068,0.79,0.043
"333","561510",0.102,0.042,0.849,0.006
"334","561600",0.025,0.877,0.096,0.002
"335","561610",0.015,0.94,0.041,0.003
"336","561620",0.077,0.517,0.406,0
"337","561700",0.023,0.034,0.942,0
"338","561710",0.047,0.015,0.938,0
"339","561730",0.029,0.032,0.939,0
"340","561900",0.091,0.212,0.65,0.018
"341","562000",0.079,0.288,0.633,0
"342","562100",0.039,0.108,0.853,0
"343","562200",0.114,0.263,0.62,0
"344","562900",0.102,0.521,0.377,0
"345","610000",0.09,0.689,0.172,0.048
"346","611000",0.09,0.689,0.172,0.048
"347","611100",0.064,0.733,0.139,0.064
"348","611105",0.093,0.734,0.121,0.052
"349","611102",0.061,0.717,0.139,0.081
"350","611103",0.06,0.733,0.142,0.065
"351","6112-3",0.136,0.615,0.226,0.023
"352","611200",0.081,0.7,0.207,0.012
"353","611205",0.114,0.661,0.219,0.004
"354","611202",0.089,0.698,0.203,0.005
"355","611203",0.072,0.707,0.207,0.014
"356","611300",0.148,0.597,0.23,0.025
"357","611305",0.15,0.599,0.224,0.013
"358","611302",0.146,0.596,0.234,0.024
"359","611303",0.174,0.571,0.231,0.002
"360","6114-7",0.099,0.658,0.205,0.037
"361","611400",0.174,0.53,0.293,0.002
"362","611405",0.176,0.52,0.299,0
"363","611402",0.143,0.619,0.19,0
"364","611403",0.13,0.609,0.174,0
"365","611500",0.101,0.615,0.263,0.017
"366","611505",0.102,0.597,0.28,0.016
"367","611502",0.082,0.755,0.157,0.013
"368","611503",0.098,0.643,0.214,0.009
"369","611600",0.057,0.735,0.153,0.054
"370","611605",0.057,0.736,0.154,0.052
"371","611602",0.048,0.762,0.095,0
"372","611603",0.06,0.56,0.167,0.143
"373","611700",0.161,0.58,0.219,0.035
"374","611705",0.162,0.554,0.24,0.042
"375","611703",0.166,0.7,0.119,0.016
"376","620000",0.368,0.117,0.376,0.139
"377","621000",0.403,0.058,0.487,0.052
"378","621100",0.453,0.032,0.512,0.003
"379","621200",0.345,0.005,0.65,0
"380","621300",0.377,0.078,0.533,0.012
"381","621310",0.241,0.007,0.749,0.002
"382","621320",0.487,0.004,0.509,0
"383","621330",0.099,0.594,0.296,0.013
"384","621340",0.47,0.039,0.473,0.019
"385","621390",0.317,0.031,0.633,0.018
"386","621600",0.277,0.039,0.436,0.248
"387","621400",0.447,0.228,0.305,0.02
"388","621420",0.177,0.58,0.203,0.039
"389","621500",0.485,0.061,0.454,0
"390","621900",0.608,0.058,0.328,0.004
"391","621910",0.757,0.026,0.213,0
"392","621990",0.386,0.104,0.499,0.009
"393","622000",0.593,0.079,0.299,0.03
"394","622100",0.602,0.07,0.299,0.029
"395","622105",0.606,0.069,0.296,0.028
"396","622102",0.585,0.097,0.301,0.017
"397","622103",0.58,0.068,0.318,0.033
